ID,include,exclude,Sex,year,Date,Event,age,Year_birth,Location,transfer,breeding,mate,note,code,Institution,State_Province,Country,code_country,iconLoc,colorLoc,transfer_code
2450,y,n,M,2022,2022-02-01,btp,16,2006,ELPASO,NA,BREED WITH,2632,"This pair has a low likelihood of success due to the male’s age, however, please do not limit breeding. No recorded male has reproduced past the age of 16.",ELP,El Paso Zoo,Texas,United States,USA,🇺🇸,#B3E095,NA
2502,y,n,F,2022,2022-02-01,btp,14,2008,EVANSVLLE,NA,BREED WITH,2641,"This pair has a low likelihood of success due to the female’s age, however, please do not limit
breeding. No recorded female has reproduced past the age of 14.",EVA,Mesker Park Zoo,Indiana,United States,USA,🇺🇸,#8CBEB4,NA
2504,y,n,M,2022,2022-02-01,btp,14,2008,PROSPECTP,PHILADELP,BREED WITH,2617,Please talk to the SSP Coordinator for details regarding the transfer of male #2676.,PRO,Prospect Park Zoo,New York,United States,USA,🇺🇸,#CCECF4,PHI
2504,n,age,F,2025,2025-02-01,btp,17,2008,ELPASO,NA,DO NOT BREED,NA,Please reach out to the SSP Coordinator when you are ready to receive new individuals.,ELP,El Paso Zoo,Texas,United States,USA,🇺🇸,#B3E095,NA
2605,n,behavior,F,2022,2022-02-01,btp,13,2009,AKRON,NA,DO NOT BREED,NA,Male #2667 will remain at your facility at least until June 2022 since the female he will be paired with does not turn one until then and therefore cannot leave her group.,AKR,Akron Zoological Park,Ohio,United States,USA,🇺🇸,#67C5CA,NA
2614,y,n,F,2022,2022-02-01,btp,12,2010,PUEBLO,NA,SEE NOTES,NA,"This pair has a low likelihood of success due to the female’s age and lack of prior reproduction, however, please do not limit breeding. No recorded female has bred for the first time past the age of 10.",PUE,Pueblo Zoo,Colorado,United States,USA,🇺🇸,#33A97E,NA
2614,y,n,F,2025,2025-02-01,btp,15,2010,PUEBLO,NA,BREED WITH,2653,"The SSP Coordinator acknowledges the lower likelihood of this pair breeding due to the female’s age, however, please do not prevent breeding.",PUE,Pueblo Zoo,Colorado,United States,USA,🇺🇸,#33A97E,NA
2617,y,n,F,2022,2022-02-01,btp,11,2011,PHILADELP,NA,BREED WITH,2504,Please talk to the SSP Coordinator for details regarding the transfer of male #2676.,PHI,Philadelphia Zoo,Pennsylvania,United States,USA,🇺🇸,#FDC07A,NA
2617,n,age,F,2025,2025-02-01,btp,14,2011,PHILADELP,NA,DO NOT BREED,NA,NA,PHI,Philadelphia Zoo,Pennsylvania,United States,USA,🇺🇸,#FDC07A,NA
2622,y,n,M,2022,2022-02-01,btp,11,2011,CINCINNAT,NA,BREED WITH,2630,NA,CIN,Cincinnati Zoo & Botanical Garden,Ohio,United States,USA,🇺🇸,#7FCA93,NA
