BTP,Institution,SB ID,Local ID,Sex,Age,Disposition,Location,Breeding,With,Notes,Facility_Note
2022,"AKRON
Akron Zoological Park
Akron, OH",2605,101471,F,13,HOLD,AKRON,DO NOT BREED,,Excluded - Behavior,Facility Note: Male #2667 will remain at your facility at least until June 2022 since the female he will be paired with does not turn one until then and therefore cannot leave her group.
2022,"AKRON
Akron Zoological Park
Akron, OH",2667,101772,M,5,SEND TO,CLEVELAND,BREED WITH,2714,,Facility Note: Male #2667 will remain at your facility at least until June 2022 since the female he will be paired with does not turn one until then and therefore cannot leave her group.
2022,"AKRON
Akron Zoological Park
Akron, OH",2689,200616,M,2,RECEIVE FROM,CLEVELAND,DO NOT BREED,,,Facility Note: Male #2667 will remain at your facility at least until June 2022 since the female he will be paired with does not turn one until then and therefore cannot leave her group.
2022,"AKRON
Akron Zoological Park
Akron, OH",2690,200617,M,2,RECEIVE FROM,CLEVELAND,DO NOT BREED,,,Facility Note: Male #2667 will remain at your facility at least until June 2022 since the female he will be paired with does not turn one until then and therefore cannot leave her group.
2022,"BLOOMINGT
Miller Park Zoo
Bloomington, IL",2661,M17002,F,6,HOLD,BLOOMINGT,BREED WITH,2682,,Facility Note: Female #2661 has not reproduced yet at the age of six; no female has reproduced for the first time past the age of 10. Please contact the SSP Coordinator to discuss strategies to improve the chances of reproduction.
2022,"BLOOMINGT
Miller Park Zoo
Bloomington, IL",2682,M19007,M,4,HOLD,BLOOMINGT,BREED WITH,2661,,Facility Note: Female #2661 has not reproduced yet at the age of six; no female has reproduced for the first time past the age of 10. Please contact the SSP Coordinator to discuss strategies to improve the chances of reproduction.
2022,"CHICAGOBR
Chicago Zoological Park / Brookfield Zoo
Brookfield, IL",2626,4920,F,10,HOLD,CHICAGOBR,BREED WITH,2631,,"Facility Note: Both females can be sent out around August 2022, as close as possible to the same time."
2022,"CHICAGOBR
Chicago Zoological Park / Brookfield Zoo
Brookfield, IL",2631,4919,M,11,HOLD,CHICAGOBR,BREED WITH,2626,,"Facility Note: Both females can be sent out around August 2022, as close as possible to the same time."
2022,"CHICAGOBR
Chicago Zoological Park / Brookfield Zoo
Brookfield, IL",2707,9545,F,1,SEND TO,NY BRONX,BREED WITH,2713,,"Facility Note: Both females can be sent out around August 2022, as close as possible to the same time."
2022,"CHICAGOBR
Chicago Zoological Park / Brookfield Zoo
Brookfield, IL",2708,9546,F,1,SEND TO,NZP-WASH,BREED WITH,2715,,"Facility Note: Both females can be sent out around August 2022, as close as possible to the same time."
2022,"CHICAGOLP
Lincoln Park Zoological Gardens
Chicago, IL",2637,23548,F,10,HOLD,CHICAGOLP,DO NOT BREED,,,
2022,"CHICAGOLP
Lincoln Park Zoological Gardens
Chicago, IL",2646,23550,M,8,HOLD,CHICAGOLP,DO NOT BREED,,,
2022,"CINCINNAT
Cincinnati Zoo & Botanical Garden
Cincinnati, OH",2622,119021,M,11,HOLD,CINCINNAT,BREED WITH,2630,,
2022,"CINCINNAT
Cincinnati Zoo & Botanical Garden
Cincinnati, OH",2630,UNK,F,11,HOLD,CINCINNAT,BREED WITH,2622,,
2022,"CLEVELAND
Cleveland Metroparks Zoo
Cleveland, OH",2667,101772,M,5,RECEIVE FROM,AKRON,BREED WITH,2714,,Facility Note: Transfers will not occur until June 2022 at the earliest.
2022,"CLEVELAND
Cleveland Metroparks Zoo
Cleveland, OH",2689,200616,M,2,SEND TO,AKRON,DO NOT BREED,,,Facility Note: Transfers will not occur until June 2022 at the earliest.
2022,"CLEVELAND
Cleveland Metroparks Zoo
Cleveland, OH",2690,200617,M,2,SEND TO,AKRON,DO NOT BREED,,,Facility Note: Transfers will not occur until June 2022 at the earliest.
2022,"CLEVELAND
Cleveland Metroparks Zoo
Cleveland, OH",2714,7878,F,0,RECEIVE FROM,LITTLEROC,BREED WITH,2667,,Facility Note: Transfers will not occur until June 2022 at the earliest.
2022,"DULUTH
Lake Superior Zoological Gardens
Duluth, MN",2679,100503,F,4,HOLD,DULUTH,BREED WITH,2685,,Facility Note: Please contact the SSP Coordinator when you are ready to receive animals.
2022,"DULUTH
Lake Superior Zoological Gardens
Duluth, MN",2685,100504,M,3,HOLD,DULUTH,BREED WITH,2679,,Facility Note: Please contact the SSP Coordinator when you are ready to receive animals.
2022,"EL PASO
El Paso Zoo
El Paso, TX",2450,202198,M,16,HOLD,EL PASO,BREED WITH,2632,,"Facility Note: This pair has a low likelihood of success due to the male’s age, however, please do not limit breeding. No recorded male has reproduced past the age of 16."
2022,"EL PASO
El Paso Zoo
El Paso, TX",2632,201291,F,11,HOLD,EL PASO,BREED WITH,2450,,"Facility Note: This pair has a low likelihood of success due to the male’s age, however, please do not limit breeding. No recorded male has reproduced past the age of 16."
2022,"EVANSVLLE
Mesker Park Zoo
Evansville, IN",2502,119021,F,14,HOLD,EVANSVLLE,BREED WITH,2641,,"Facility Note: This pair has a low likelihood of success due to the female’s age, however, please do not limit
breeding. No recorded female has reproduced past the age of 14."
2022,"EVANSVLLE
Mesker Park Zoo
Evansville, IN",2641,118015,M,9,HOLD,EVANSVLLE,BREED WITH,2502,,"Facility Note: This pair has a low likelihood of success due to the female’s age, however, please do not limit
breeding. No recorded female has reproduced past the age of 14."
2022,"GARDENCTY
Lee Richardson Zoo
Garden City, KS",2666,117017,F,5,HOLD,GARDENCTY,BREED WITH,2671,,
2022,"GARDENCTY
Lee Richardson Zoo
Garden City, KS",2671,117022,M,5,HOLD,GARDENCTY,BREED WITH,2666,,
2022,"LITTLEROC
Little Rock Zoological Gardens
Little Rock, AK",2634,7403,M,11,HOLD,LITTLEROC,BREED WITH,2654,,Facility Note: Juveniles will be sent out no earlier than June 2022.
