code,Location,Institution,State_Province,Country,code_country,iconLoc,colorLoc
ABQ,ABQBIOPK,Albuquerque Biological Park,New Mexico,United States,USA,🇺🇸,#FFEDB3
AKR,AKRON,Akron Zoological Park,Ohio,United States,USA,🇺🇸,#F74370
ATT,ATTLEBORO,Capron Park Zoo,Massachusetts,United States,USA,🇺🇸,#A6DBAB
AUD,AUDUBON,Audubon Zoo,Louisianna,United States,USA,🇺🇸,#A6C583
ASI,Asia,Wild,Asia,Asia,UND,?,#99B46C
BAN,BANGKOK,Dusit (Bangkok) Zoological Park,Thailand,Thailand,THA,🇹🇭,#41B087
BLO,BLOOMINGT,Miller Park Zoo,Illinois,United States,USA,🇺🇸,#FED99A
BOW,BOWMANVIL,Bowmanville Zoological Park,Ontario,Canada,CAN,🇨🇦,#FFFF00
BUS,BUSCHTAM,Busch Gardens Tampa Bay,Florida,United States,USA,🇺🇸,#D9F0DF
CAF,CAFGSD,Calif. Fish & Game (San Diego),California,United States,USA,🇺🇸,#E5B75A
CAL,CALGARY,"Calgary Zoo, Garden & Prehistoric Park",Alberta,Canada,CAN,🇨🇦,#BFE7F1
CBR,CHICAGOBR,Chicago Zoological Park / Brookfield Zoo,Illinois,United States,USA,🇺🇸,#CCD4C7
CHI,CHICAGOLP,Lincoln Park Zoological Gardens,Illinois,United States,USA,🇺🇸,#B3E3EE
CIN,CINCINNAT,Cincinnati Zoo & Botanical Garden,Ohio,United States,USA,🇺🇸,#E3B9DB
CLE,CLEVELAND,Cleveland Metroparks Zoo,Ohio,United States,USA,🇺🇸,#C983BF
COL,COLUMBUS,Columbus Zoo and Aquarium,Ohio,United States,USA,🇺🇸,#F881B5
CRY,CRYSTALG,Crystal Garden Conservation Center (extinct 2004),British Columbia,Canada,CAN,🇨🇦,#B051A5
DUK,DUKEPRIM,Duke Lemur Center,North Carolina,United States,USA,🇺🇸,#8CCD60
DUL,DULUTH,Lake Superior Zoological Gardens,Minnesota,United States,USA,🇺🇸,#4DB47E
ELP,ELPASO,El Paso Zoo,Texas,United States,USA,🇺🇸,#B3DE53
EVA,EVANSVLLE,Mesker Park Zoo,Indiana,United States,USA,🇺🇸,#BFD0BA
FER,FERNDALE,"International Animal Exchange, Inc.",Michigan,United States,USA,🇺🇸,#FFFFB3
FIT,FITCHH,Helena Fitch-Snyder (extinct),California,United States,USA,🇺🇸,#A6DCB5
FOR,FORSS,Zoo-Forss (Ingvar Forss) (extinct 1985),Denmark,Denmark,DNK,🇩🇰,#F9F97F
FRA,FRANKFURT,Zoologischer Garten Frankfurt,Germany,Germany,DEU,🇩🇪,#CCECF4
GAR,GARDENCTY,Lee Richardson Zoo,Kansas,United States,USA,🇺🇸,#99D69F
GRA,GRANBY,Zoo de Granby,Quebec,Canada,CAN,🇨🇦,#74C69C
HER,HERSHEY,ZooAmerica (No. American Wildlife Pk.),Pennsylvania,United States,USA,🇺🇸,#E6F47F
HOG,HOGLE,Utah's Hogle Zoo,Utah,United States,USA,🇺🇸,#D9F0BB
HON,HONOLULU,Honolulu Zoo,Hawaii,United States,USA,🇺🇸,#EF5845
HOU,HOUSTON,"Houston Zoo, Inc.",Texas,United States,USA,🇺🇸,#BC75B7
IND,INDRIVR,Indian River Reptile Zoo,Ontario,Canada,CAN,🇨🇦,#80AB6C
IRC,IRCHEL,Universität Zürich-Irchel Anthropologisches Institut und Museum,Switzerland,Switzerland,CHE,🇨🇭,#FFF2D3
KOL,KOLN,Cologne Zoo,Germany,Germany,DEU,🇩🇪,#FDB462
LAN,LANGLEY,Mountain View Conservation & Breeding,British Columbia,Canada,CAN,🇨🇦,#BFE48A
LIT,LITTLEROC,Little Rock Zoological Gardens,Arkansas,United States,USA,🇺🇸,#99C08D
LOS,LOSANGELE,Los Angeles Zoo & Botanical Gardens,California,United States,USA,🇺🇸,#7FCA93
LAO,LaoPeoplesDemocraticRepublic,Wild,Laos,Laos,LAO,🇱🇦,#CCEA97
MEM,MEMPHIS,Memphis Zoological Garden & Aquarium,Tennessee,United States,USA,🇺🇸,#B3CBB9
MIL,MILWAUKEE,Milwaukee County Zoological Gardens,Wisconsin,United States,USA,🇺🇸,#1A9D6F
MIN,MINNESOTA,Minnesota Zoological Garden,Minnesota,United States,USA,🇺🇸,#D6AAD3
MOO,MOODY,Aquarium & Rainforest at Moody Gardens,Texas,United States,USA,🇺🇸,#E5AC4D
MOS,MOSCOW,Moscow Zoological Park,Russia,Russian Federation,RUS,🇷🇺,#BFD0C5
MYA,MYAKKACLR,Lemur Conservation Foundation,Florida,United States,USA,🇺🇸,#9AD9DD
NYB,NYBRONX,Bronx Zoo/Wildlife Conservation Society,New York,United States,USA,🇺🇸,#B3BE6C
NZP,NZPWASH,Smithsonian National Zoological Park,District of Columbia,United States,USA,🇺🇸,#B3E1C2
OAS,OASES,OASES (John Creviston),British Columbia,Canada,CAN,🇨🇦,#FFFF66
OMA,OMAHA,Omaha's Henry Doorly Zoo,Nebraska,United States,USA,🇺🇸,#E36F5C
PAI,PAIGNTON,Paignton Zoo Environmental Park,United Kingdom,United Kingdom,GBR,🇬🇧,#FDC091
PHI,PHILADELP,Philadelphia Zoo,Pennsylvania,United States,USA,🇺🇸,#BFE7E5
POZ,POZNAN,Ogrod Zoologiczny w Poznaniu,Poland,Poland,POL,🇵🇱,#67C5CA
PRO,PROSPECTP,Prospect Park Zoo,New York,United States,USA,🇺🇸,#FFFF41
PUB,PUBLIC,General Public,Undetermined,Undetermined,UND,?,#FB745C
PUE,PUEBLO,Pueblo Zoo,Colorado,United States,USA,🇺🇸,#80C5DD
QUE,QUEBEC,Jardin Zoologique du Quebec (extinct),Quebec,Canada,CAN,🇨🇦,#F74370
SOZ,SANDIEGOZ,San Diego Zoo,California,United States,USA,🇺🇸,#CCDFAA
SAN,SANFRAN,San Francisco Zoological Gardens,California,United States,USA,🇺🇸,#99B575
SBA,SBARBARA,Santa Barbara Zoological Gardens,California,United States,USA,🇺🇸,#99D7B3
SDW,SDWAP,San Diego Zoo Safari Park,California,United States,USA,🇺🇸,#A6DDE0
SEA,SEATTLE,Woodland Park Zoo,Washington,United States,USA,🇺🇸,#67BCD8
SHA,SHALDON,Shaldon Wildlife Trust,United Kingdom,United Kingdom,GBR,🇬🇧,#8CCD57
SKA,SKANAKV,Skansen Akvariet,Sweden,Sweden,SWE,🇸🇪,#983999
STL,STLOUIS,Saint Louis Zoological Park,Missouri,United States,USA,🇺🇸,#B168B1
SWI,SWITZRLNDInvaliduseofGeoRef,SWITZRLND: Invalid use of GeoRef,Switzerland,Switzerland,CHE,🇨🇭,#E6F5C9
TAI,TAIPEI,Taipei Zoo,Taiwan,Taiwan,TWN,🇹🇼,#B3DF7F
TOR,TORONTO,Toronto Zoo,Ontario,Canada,CAN,🇨🇦,#FCA773
THA,Thailand,Wild,Thailand,Thailand,THA,🇹🇭,#E5D075
UND,UNDETERMI,Undetermined Location,Undetermined,Undetermined,UND,?,#E37B68
USD,USDI,US Dept of the Interior (USDI),Undetermined,United States,USA,🇺🇸,#FECC5C
