ID,Date_birth,Date,event_order,Event,Date_last,Status,Loc_event,Loc_birth,Loc_last,Sex,Sire,Dam,age_event,age_last,Type_birth,exclude,Year_birth,Institution_birth,State_Province_birth,Country_birth,iconLoc_birth,colorLoc_birth,Institution_last,State_Province_last,Country_last,iconLoc_last,colorLoc_last
1000,1984-01-01,1986-01-01,1,transfer,1987-12-01,D,SKA,VIE,SKA,F,0,0,2,3,Wild,deceased,1984,Wild,Vietnam,Vietnam,🇻🇳,#FFFF33,Skansen Akvariet,Sweden,Sweden,🇸🇪,#F74370
1000,1984-01-01,1986-12-01,2,breed,1987-12-01,D,SKA,VIE,SKA,F,0,0,2,3,Wild,deceased,1984,Wild,Vietnam,Vietnam,🇻🇳,#FFFF33,Skansen Akvariet,Sweden,Sweden,🇸🇪,#F74370
1001,1983-01-01,1985-01-01,1,transfer,1987-01-01,D,SKA,VIE,SKA,F,0,0,2,4,Wild,deceased,1983,Wild,Vietnam,Vietnam,🇻🇳,#FFFF33,Skansen Akvariet,Sweden,Sweden,🇸🇪,#F74370
1001,1983-01-01,1986-01-01,2,breed,1987-01-01,D,SKA,VIE,SKA,F,0,0,3,4,Wild,deceased,1983,Wild,Vietnam,Vietnam,🇻🇳,#FFFF33,Skansen Akvariet,Sweden,Sweden,🇸🇪,#F74370
1002,1965-06-10,1967-06-10,1,transfer,1984-04-28,D,USD,VIE,HON,M,0,0,2,18,Wild,deceased,1965,Wild,Vietnam,Vietnam,🇻🇳,#FFFF33,Honolulu Zoo,Hawaii,United States,🇺🇸,#FDB462
1002,1965-06-10,1968-06-10,2,transfer,1984-04-28,D,HON,VIE,HON,M,0,0,3,18,Wild,deceased,1965,Wild,Vietnam,Vietnam,🇻🇳,#FFFF33,Honolulu Zoo,Hawaii,United States,🇺🇸,#FDB462
1003,1968-01-05,1970-01-05,1,transfer,1982-01-29,D,HON,VIE,HON,U,0,0,2,14,Wild,deceased,1968,Wild,Vietnam,Vietnam,🇻🇳,#FFFF33,Honolulu Zoo,Hawaii,United States,🇺🇸,#FDB462
1004,1970-10-18,1972-10-18,1,transfer,1973-10-18,D,HON,VIE,HON,F,0,0,2,3,Wild,deceased,1970,Wild,Vietnam,Vietnam,🇻🇳,#FFFF33,Honolulu Zoo,Hawaii,United States,🇺🇸,#FDB462
1005,1970-10-18,1972-10-18,1,transfer,1973-10-18,D,HON,VIE,HON,F,0,0,2,3,Wild,deceased,1970,Wild,Vietnam,Vietnam,🇻🇳,#FFFF33,Honolulu Zoo,Hawaii,United States,🇺🇸,#FDB462
1006,1989-01-01,1989-01-01,1,transfer,1991-06-12,D,PUB,UND,FIT,M,0,0,0,2,Wild,deceased,1989,Undetermined Location,Undetermined,Undetermined,?,#FEB342,Helena Fitch-Snyder (extinct),California,United States,🇺🇸,#33A97E
1006,1989-01-01,1991-06-02,2,transfer,1991-06-12,D,FIT,UND,FIT,M,0,0,2,2,Wild,deceased,1989,Undetermined Location,Undetermined,Undetermined,?,#FEB342,Helena Fitch-Snyder (extinct),California,United States,🇺🇸,#33A97E
1007,1983-03-01,1986-03-01,1,transfer,1990-05-12,D,SKA,VIE,DUK,F,0,0,3,7,Wild,deceased,1983,Wild,Vietnam,Vietnam,🇻🇳,#FFFF33,Duke Lemur Center,North Carolina,United States,🇺🇸,#D9F1F7
1007,1983-03-01,1987-04-05,2,transfer,1990-05-12,D,DUK,VIE,DUK,F,0,0,4,7,Wild,deceased,1983,Wild,Vietnam,Vietnam,🇻🇳,#FFFF33,Duke Lemur Center,North Carolina,United States,🇺🇸,#D9F1F7
1008,1983-03-01,1984-06-01,1,transfer,1998-10-15,D,BAN,VIE,DUK,F,0,0,1,15,Wild,deceased,1983,Wild,Vietnam,Vietnam,🇻🇳,#FFFF33,Duke Lemur Center,North Carolina,United States,🇺🇸,#D9F1F7
1008,1983-03-01,1986-12-19,2,transfer,1998-10-15,D,SKA,VIE,DUK,F,0,0,3,15,Wild,deceased,1983,Wild,Vietnam,Vietnam,🇻🇳,#FFFF33,Duke Lemur Center,North Carolina,United States,🇺🇸,#D9F1F7
1008,1983-03-01,1987-02-17,3,breed,1998-10-15,D,SKA,VIE,DUK,F,0,0,3,15,Wild,deceased,1983,Wild,Vietnam,Vietnam,🇻🇳,#FFFF33,Duke Lemur Center,North Carolina,United States,🇺🇸,#D9F1F7
1008,1983-03-01,1987-04-05,4,transfer,1998-10-15,D,DUK,VIE,DUK,F,0,0,4,15,Wild,deceased,1983,Wild,Vietnam,Vietnam,🇻🇳,#FFFF33,Duke Lemur Center,North Carolina,United States,🇺🇸,#D9F1F7
1008,1983-03-01,1988-01-01,5,breed,1998-10-15,D,DUK,VIE,DUK,F,0,0,4,15,Wild,deceased,1983,Wild,Vietnam,Vietnam,🇻🇳,#FFFF33,Duke Lemur Center,North Carolina,United States,🇺🇸,#D9F1F7
